ID,Organization Name,Industries,Description,CB Rank (Company),Founded Date,Exit Date,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Acquired by,Announced Date Acquisition,IPO,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax
000030,bobbie,"['B2B', 'Construction', 'E-Commerce Platforms', 'Procurement', 'Supply Chain Management']",bobbie is the disruptive construction materials procurement platform for large tenders.,"224,879",2017-02-14,,https://www.bobbie.de,,https://www.facebook.com/bobbie.business/,https://www.linkedin.com/company/bobbie-deutschland/,"bobbie is reshaping the construction industry with digital procurement and champions transparency and technology innovation. Streamlining procurement and integrating our vision of radical transparency into every step of the design process, we are enabling the construction industry to embrace the 21st century.  The long form: bobbie is the disruptive construction materials procurement platform for large tenders. “Made in Germany”, bobbie is transforming the construction industry by leveraging deep industry experience and advanced technologies such as artificial intelligence, natural language processing, and process automation to optimize procurement of construction materials at scale.  Through committing to radical price transparency to all process stakeholders, bobbie is challenging the status quo of the construction industry. Operating without holding any inventory, bobbie serves as a direct link between manufacturers and customers, providing a reliable, innovative and transparent alternative to traditional construction materials traders. With substantially lower procurement costs and a seamless, connected and accelerated process, the construction industry is ready for the demands of the 21st century.  But: bobbie’s vision for bringing transparency to the construction industry stretches even further: Seamlessly connecting crucial ConTech innovations, bobbie is co-innovating on an innovative, industry-wide slip-solution based on open standards. No information is lost in translation, and every stakeholder has real-time access to accurate, consistent information. All of this leads up to the next generation of Building Information Modeling (BIM): bobbie envisions an integrated 6D BIM - a process that incorporates lifecycle data, purchasing and operational costs as well as sustainability aspects into the design process, providing a complete overview of an object’s lifecycle, from conception to demolition in bobbie’s platform. This not only leads to more efficient object designs but also promotes sustainable practices by considering environmental impacts throughout the lifespan of a project or object.","['Commerce and Shopping', 'Internet Services', 'Other', 'Real Estate', 'Transportation']",2.0,75.5,"Alexander Gran, Tim Kuhlmann",3,2021-10-06,,Series A,,"Gateway Ventures, Aurelia Ventures, BRZ, Bamaka, HG COMMERCIALE",0.0,5.0,0.0,,,,0,3311,50,51-200,51,200
000031,BOX ID Systems,"['Automotive', 'Enterprise Software', 'Industrial', 'Information Technology', 'Internet of Things', 'Manufacturing', 'SaaS', 'Software', 'Supply Chain Management']",Supply Chain Visibility SaaS Platform specialized in Process Monitoring & Conformity Analytics,"44,977",2018-01-09,,https://www.box-id.com/,,,https://www.linkedin.com/company/box-id/,"BOX ID Systems develops and offers an end-to-end location & process mining solution to cost effectively track millions of logistics assets digitally throughout the industrial supply chain across Europe and the World - including site-to-site, on-premises and indoor buildings digital twin of supply chain processes. The system is built on a specialized analytics software platform, sensorik tracking devices and efficient data-, device- and user-management tools, including functions to support process automation and optimization. Industrial and automotive production customers benefit from making their logistics processes more efficient and cost optimized, with 100% transparency within their critical processes throughout the entire supply chain.","['Information Technology', 'Internet Services', 'Manufacturing', 'Software', 'Transportation']",3.0,30.5,"Dominik Buchinger, Shawn Silberhorn, Wolfgang Vogl",2,2024-02-01,3500000.0,Seed,3806032.0,"HTGF | High-Tech Gruenderfonds, Bayern Kapital, Wille Finance, KPN Ventures, BayStartUP",2.0,8.0,0.0,,,,0,2050,21,11-50,11,50
000032,Brabbler,"['Communications Infrastructure', 'Information Technology', 'Internet']",Brabbler develops IT solutions for modern and secure communication.,"144,285",2015-01-01,,https://www.brabbler.ag,,https://www.facebook.com/Brabbler-AG-796305957135515/,https://www.linkedin.com/company/brabbler-secure-message-and-data-exchange-aktiengesellschaft,Brabbler develops IT solutions for modern and secure communication.,"['Hardware', 'Information Technology', 'Internet Services']",4.0,75.5,"Eric Dolatre, Jörg Sellmann, Karsten Schramm, Peter Koehnkow",1,2017-08-03,15000000.0,Venture - Series Unknown,15000000.0,,0.0,0.0,1.0,Made Acquisitions,,,0,1384,3,51-200,51,200
000033,Breath Therapeutics,"['Biotechnology', 'Health Care', 'Medical Device', 'Therapeutics']",Breath Therapeutics is a private clinical-stage biopharmaceutical company.,"49,527",2016-01-01,2019-07-25,http://breath-therapeutics.com/,https://twitter.com/BreathTx,,https://www.linkedin.com/company/breath-therapeutics/,Breath Therapeutics – a Zambon Group Company is pursuing groundbreaking therapies by unleashing the true potential of inhaled drug delivery. Their approach combines novel formulations of existing drugs with cutting-edge inhalation technology for the treatment of rare respiratory diseases with high unmet medical need.  They are developing drug-device combinations designed to rapidly deliver high concentrations of drugs to the site of action in the lung. Their approach increases effective dosing in the lung while minimizing systemic exposure which could lead to new treatment solutions with enhanced efficacy and safety.,"['Biotechnology', 'Health Care', 'Science and Engineering']",4.0,30.5,"Anne Burger, Gerhard Börner, Jens Stegemann, Oliver Denk",1,2017-03-08,43500000.0,Series A,45870544.0,"Sofinnova Partners, Gimv, Gilde Healthcare",2.0,3.0,0.0,Was Acquired,Zambon Pharma,2019-07-25,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000034,Build38,"['Artificial Intelligence (AI)', 'Cyber Security', 'Mobile Apps', 'Mobile Payments', 'Security']","Build38 is a provider of mobile application protection solutions for in-app shielding, in-app monitoring, and AI based in-app reaction.","33,407",2018-11-13,,https://build38.com,https://twitter.com/build38dotcom,,https://www.linkedin.com/company/build38,"Build38 is a global provider of mobile application protection solutions. Its solution represents a new generation of app-hardening technologies and service that protects apps from known and unknown attacks and opens the market to new digital business models. Build38 protects applications across various industries including automotive, financial, public transport and health care. Build38 is headquartered in Munich with global offices in Barcelona and Singapore. The company is a spin out of Giesecke + Devrient and ranks among the best IT Security startups in Germany. Build38 is an official GARTNER In-App Shielding Market Guide Vendor since 2019 and the first to combine: In-App Shielding + In-App Monitoring + AI-based In-App Reaction.","['Apps', 'Artificial Intelligence (AI)', 'Data and Analytics', 'Financial Services', 'Information Technology', 'Mobile', 'Payments', 'Privacy and Security', 'Science and Engineering', 'Software']",6.0,75.5,"Christian Schlaeger, Joaquin Miguel Fernandez Barreiro, Marc Obrador Sureda, Pedro Hernandez, Tillmann Gmelin, Torsten Leibner",3,2023-02-07,13000000.0,Series A,17592092.0,"Tikehau Capital, Criteria Venture Tech, eCAPITAL ENTREPRENEURIAL PARTNERS, Giesecke+Devrient Ventures",4.0,4.0,0.0,,,,0,6516,60,51-200,51,200
000035,Cadami,"['Internet', 'iOS', 'Mobile', 'Robotics', 'Software', 'Telecommunications', 'Video', 'Video Streaming', 'Wireless']",Cadami is provides solutions for wireless video streaming.,"411,295",2015-01-01,,https://cadami.net,https://twitter.com/cadami_net,https://www.facebook.com/cadami.net,https://www.linkedin.com/company/cadami,"Cadami is a Munich (Germany) based company that provides solutions for wireless video streaming. For network operators, Cadami has the solution to massively scale mobile video without overloading the network. Cadami is creating, promoting, and licensing intellectual property rights and software solutions. Cadami is a spin-off company based on research at TU München.","['Content and Publishing', 'Hardware', 'Internet Services', 'Media and Entertainment', 'Mobile', 'Platforms', 'Science and Engineering', 'Software', 'Video']",3.0,5.5,"Andreas Dotzler, Maximilian Riemensberger, Michael Heindlmaier",1,2015-01-01,105000.0,Seed,126483.0,,0.0,0.0,0.0,,,,0,292,8,2-10,2,10
000036,Capmo,"['Architecture', 'Civil Engineering', 'Construction', 'Information Technology', 'Project Management', 'Real Estate', 'SaaS', 'Software']",Capmo is developing construction management platform to make the hard things in construction feel easy.,"9,260",2018-01-01,,https://www.capmo.com,https://twitter.com/capmo_software,https://www.facebook.com/capmogmbh,https://www.linkedin.com/company/capmo/,"Capmo is the leading B2B SaaS startup revolutionizing one of the largest yet most antiquated industries in the world, construction and real estate. We have been awarded multiple times as one of the most innovative construction tech companies and have tripled our team in 3 years to nearly 70 employees from more than 15 countries. By the end of 2022, we will define the digital future of the construction industry in Germany, Austria and Switzerland so that homes, schools and hospitals, among others, can be built on time, on budget and CO2-efficiently in the future.  The Munich-based software startup was founded in 2018. Several hundred customers and tens of thousands of users in Europe already rely on Capmo's digital solution and implement well over 10,000 construction projects with the software.","['Administrative Services', 'Information Technology', 'Other', 'Real Estate', 'Science and Engineering', 'Software']",4.0,175.5,"Florian Biller, Florian Ettlinger, Patrick Christ, Sebastian Schlecht",3,2021-08-24,26000000.0,Series B,38118642.0,"Bessemer Venture Partners, Capnamic Ventures, UVC Partners, HW Capital",3.0,4.0,0.0,,,,0,11374,85,51-200,51,200
000037,Catchys,"['E-Commerce', 'Fashion', 'Shopping']","Catchys offers an online platform that enables its users to buy used clothing, accessories, furniture, and more from various online shops.","2,017,217",2015-01-01,2021-12-15,https://www.catchys.com/,https://www.twitter.com/catchys_,https://www.facebook.com/CATCHYS-673031349441278,https://www.linkedin.com/company/catchys-gmbh/?originalSubdomain=in,"CATCHYS is an online search engine for fashion, furniture, watches and jewelery. CATCHYS already brings together over 5 million products on one page and offers the largest selection of new and used designer deals from international online shops. At catchys.de you'll find the complete range of international second hand and second season marketplaces - from Zara to Prada. Clearly displayed so can also find the very special favorite part for the best price. The fashion tech startup is based in Munich.","['Clothing and Apparel', 'Commerce and Shopping', 'Design']",2.526315789473684,5.5,,1,2015-10-01,,Seed,,"Florian Huber, Saarbruecker 21, Lea-Sophie Cramer, Astutia Ventures, Stefano Langenbacher",0.0,11.0,0.0,Was Acquired,Glami,2021-12-15,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000038,CELUS,"['Artificial Intelligence (AI)', 'Software']",Engineering platform to automate the development of electronics,"5,181",2018-02-02,,https://www.celus.io/,https://twitter.com/Celus_io,https://www.facebook.com/celus.io/,https://www.linkedin.com/company/celus,"CELUS creates an online software solution to empower development teams to easily build embedded systems, without deep knowledge about electronics. Our software automatically generates schematics, PCB-Floorplannings, BOM and Embedded Source Code through automation and artificial intelligence.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Science and Engineering', 'Software']",3.0,75.5,"Alexander Pohl, Andre Alcalde, Tobias Pohl",5,2022-07-06,25000000.0,Series A,31618631.0,"Earlybird Venture Capital, Speedinvest, Plug and Play, Lars Fjeldsoe-Nielsen, 2xN",3.0,13.0,0.0,,,,0,19536,118,51-200,51,200
000039,CereGate,"['Medical Device', 'Neuroscience', 'Software']","CereGate is developing a new Computer-Brain-Interface platform, that can transmit information into the human mind.","233,486",2019-01-01,,https://www.ceregate.com/,,,https://www.linkedin.com/company/ceregate,"CereGate is a Brain-Machine Interface company establishing new ways of communication. CereGate has developed a system that allows the transmission of information directly into human consciousness. More precisely, CereGate is developing a groundbreaking computer-brain interface (CBI) technology. The platform enhances medical treatments by transmitting information directly to neural circuits using existing neuromodulation implants.","['Biotechnology', 'Health Care', 'Science and Engineering', 'Software']",1.0,30.5,Bálint Várkuti,3,2022-01-12,,Convertible Note,,"HTGF | High-Tech Gruenderfonds, 468 Capital, Heal Capital, re.Mind Capital, TruVenturo",4.0,5.0,0.0,,,,0,2119,19,2-10,2,10
000040,ChargeX,"['Automotive', 'Clean Energy', 'CleanTech', 'Electric Vehicle', 'Electrical Distribution']",ChargeX provides electric car charging solutions.,"126,930",2017-01-01,,http://chargex.de/,,https://www.facebook.com/ChargeX.de,https://www.linkedin.com/company/charge-x,"ChargeX provides electric car charging solutions. Tobias Wagner, Michael Masnitza, and Johannes Engeln founded it in 2017, with its headquarters in Munich in Germany.","['Energy', 'Sustainability', 'Transportation']",3.0,30.5,"Johannes Engeln, Michael Masnitza, Tobias Wagner",4,2023-07-05,11500000.0,Series B,17618021.0,"Verve Ventures, Bayern Kapital, UVC Partners, BonVenture, Energie360°",3.0,9.0,0.0,,,,0,7550,50,51-200,51,200
